ProductTypeId	name	GearRef	InsertBatch	PlasticBatch
1	G100 - PBV2 - DUPONT/DUPONT	6221L1	00                                                                                                  	6830000010                                                                                          
2	G100 - PBV2 - RADICI/ASCEND	6222L1	00                                                                                                  	6800017262                                                                                          
3	G088 - MFA2 - DUPONT/DUPONT	6211L1	00                                                                                                  	6830000010                                                                                          
4	G088 - MFA2 - RADICI/ASCEND	6212L1	00                                                                                                  	6800017262                                                                                          
5	G088 - MFA2 - DOMO/CELANESE	6213L1	6800007212                                                                                          	6800018030                                                                                          
6	G100 - PBV2 - DOMO/CELANESE	6223L1	6800007212                                                                                          	6800018030                                                                                          
7	G100 - PBV2 - RADICI/DUPONT	6224L1	00                                                                                                  	6800017262                                                                                          
8	G088 - MFA2 - RADICI/DUPONT	6214L1	00                                                                                                  	6800017262                                                                                          
10	test veille série 5	6212L1	000000                                                                                              	000000                                                                                              
11	test veille série 6	6212L1	000000                                                                                              	000000                                                                                              
12	Test pour OP 31 32 - 01	6223L1	000                                                                                                 	000                                                                                                 
